마감기준,구분,년,주/월,회차,서비스태그,인입수,비고
2026년 2월 28일,꿈비,2026,월간,26.02월,전화,1505,
2026년 2월 28일,꿈비,2026,월간,26.02월,채널톡 메시지,2331,
2026년 2월 28일,꿈비,2026,월간,26.02월,카카오,1072,
2026년 2월 28일,꿈비,2026,월간,26.02월,네이버 톡톡,818,
2026년 1월 31일,꿈비,2026,월간,26.01월,전화,2249,
2026년 1월 31일,꿈비,2026,월간,26.01월,채널톡 메시지,2187,
2026년 1월 31일,꿈비,2026,월간,26.01월,카카오,1115,
2026년 1월 31일,꿈비,2026,월간,26.01월,네이버 톡톡,859,
2026년 3월 13일,꿈비,2026,주간,260313,네이버 톡톡,208,
2026년 3월 13일,꿈비,2026,주간,260313,카카오,250,
2026년 3월 13일,꿈비,2026,주간,260313,전화,0,
2026년 3월 13일,꿈비,2026,주간,260313,채널톡 메시지,727,
2026년 3월 20일,꿈비,2026,주간,260320,전화,0,낮잠이불 이슈로 인한 콜상담 미진행
2026년 3월 20일,꿈비,2026,주간,260320,채널톡 메시지,726,
2026년 3월 20일,꿈비,2026,주간,260320,네이버 톡톡,170,
2026년 3월 20일,꿈비,2026,주간,260320,카카오,233,
2026년 3월 27일,꿈비,2026,주간,260327,채널톡 메시지,595,
2026년 3월 27일,꿈비,2026,주간,260327,네이버 톡톡,169,
2026년 3월 27일,꿈비,2026,주간,260327,전화,179,
2026년 3월 27일,꿈비,2026,주간,260327,카카오,259,
2026년 4월 3일,꿈비,2026,주간,260403,채널톡 메시지,626,
2026년 4월 3일,꿈비,2026,주간,260403,카카오,229,
2026년 4월 3일,꿈비,2026,주간,260403,전화,140,
2026년 4월 3일,꿈비,2026,주간,260403,네이버 톡톡,157,
2026년 3월 31일,꿈비,2026,월간,26.03월,채널톡 메시지,3701,
2026년 3월 31일,꿈비,2026,월간,26.03월,카카오,1240,
2026년 3월 31일,꿈비,2026,월간,26.03월,네이버 톡톡,942,
2026년 3월 31일,꿈비,2026,월간,26.03월,전화,226,
2026년 4월 10일,꿈비,2026,주간,260410,채널톡 메시지,570,
2026년 4월 10일,꿈비,2026,주간,260410,전화,253,
2026년 4월 10일,꿈비,2026,주간,260410,카카오,215,
2026년 4월 10일,꿈비,2026,주간,260410,네이버 톡톡,165,
2026년 4월 17일,꿈비,2026,주간,260417,채널톡 메시지,551,
2026년 4월 17일,꿈비,2026,주간,260417,전화,252,
2026년 4월 17일,꿈비,2026,주간,260417,네이버 톡톡,206,
2026년 4월 17일,꿈비,2026,주간,260417,카카오,198,
2026년 4월 24일,꿈비,2026,주간,260424,채널톡 메시지,615,
2026년 4월 24일,꿈비,2026,주간,260424,전화,289,
2026년 4월 24일,꿈비,2026,주간,260424,카카오,286,
2026년 4월 24일,꿈비,2026,주간,260424,네이버 톡톡,237,
2026년 5월 1일,꿈비,2026,주간,260501,채널톡 메시지,476,
2026년 5월 1일,꿈비,2026,주간,260501,전화,285,
2026년 5월 1일,꿈비,2026,주간,260501,네이버 톡톡,193,
2026년 5월 1일,꿈비,2026,주간,260501,카카오,183,
2026년 4월 30일,꿈비,2026,월간,26.04월,채널톡 메시지,2757,
2026년 4월 30일,꿈비,2026,월간,26.04월,전화,1169,
2026년 4월 30일,꿈비,2026,월간,26.04월,카카오,1104,
2026년 4월 30일,꿈비,2026,월간,26.04월,네이버 톡톡,956,
2026년 5월 8일,꿈비,2026,주간,260508,채널톡 메시지,636,
2026년 5월 8일,꿈비,2026,주간,260508,전화,271,
2026년 5월 8일,꿈비,2026,주간,260508,카카오,254,
2026년 5월 8일,꿈비,2026,주간,260508,네이버 톡톡,221,
2026년 5월 15일,꿈비,2026,주간,260515,채널톡 메시지,640,
2026년 5월 15일,꿈비,2026,주간,260515,전화,365,
2026년 5월 15일,꿈비,2026,주간,260515,네이버 톡톡,310,
2026년 5월 15일,꿈비,2026,주간,260515,카카오,286,
2026년 5월 22일,꿈비,2026,주간,260522,채널톡 메시지,776,
2026년 5월 22일,꿈비,2026,주간,260522,전화,352,
2026년 5월 22일,꿈비,2026,주간,260522,네이버 톡톡,339,
2026년 5월 22일,꿈비,2026,주간,260522,카카오,319,
2026년 5월 29일,꿈비,2026,주간,260529,채널톡 메시지,737,
2026년 5월 29일,꿈비,2026,주간,260529,전화,327,
2026년 5월 29일,꿈비,2026,주간,260529,네이버 톡톡,309,
2026년 5월 29일,꿈비,2026,주간,260529,카카오,306,